Year,UNIT_MEASURE,Регионы,Местность,Возраст,Value
2013,процент,г_Алматы,,55-64,22.1
2014,процент,,,,34.8
2014,процент,Акмолинская,,,34.8
2014,процент,Актюбинская,,,37.6
2014,процент,Алматинская,,,26.5
2014,процент,Атырауская,,,25.4
2014,процент,Западно-Казахстанская,,,30.6
2014,процент,Жымбылская,,,22.8
2014,процент,Карагандинская,,,35.7
2014,процент,Костанайская,,,38.6
2014,процент,Кызылординская,,,34.0
2014,процент,Мангистауская,,,44.6
2014,процент,Южно-Казахстанская,,,32.9
2014,процент,Павлодарская,,,32.0
2014,процент,Северо-Казахстанская,,,31.3
2014,процент,Восточно-Казахстанская,,,35.0
2014,процент,г_Нур-Султан,,,35.9
2014,процент,г_Алматы,,,38.4
2014,процент,,Город,,37.1
2014,процент,Акмолинская,Город,,37.7
2014,процент,Актюбинская,Город,,39.6
2014,процент,Алматинская,Город,,30.5
2014,процент,Атырауская,Город,,23.7
2014,процент,Западно-Казахстанская,Город,,32.0
2014,процент,Жымбылская,Город,,27.5
2014,процент,Карагандинская,Город,,37.0
2014,процент,Костанайская,Город,,41.4
2014,процент,Кызылординская,Город,,38.1
2014,процент,Мангистауская,Город,,46.4
2014,процент,Южно-Казахстанская,Город,,35.5
2014,процент,Павлодарская,Город,,31.5
2014,процент,Северо-Казахстанская,Город,,34.0
2014,процент,Восточно-Казахстанская,Город,,37.8
2014,процент,г_Нур-Султан,Город,,37.6
2014,процент,г_Алматы,Город,,39.3
2014,процент,,сельское население,,30.2
2014,процент,Акмолинская,сельское население,,29.6
2014,процент,Актюбинская,сельское население,,30.6
2014,процент,Алматинская,сельское население,,25.3
2014,процент,Атырауская,сельское население,,32.7
2014,процент,Западно-Казахстанская,сельское население,,28.8
2014,процент,Жымбылская,сельское население,,16.7
2014,процент,Карагандинская,сельское население,,32.0
2014,процент,Костанайская,сельское население,,34.4
2014,процент,Кызылординская,сельское население,,28.8
2014,процент,Мангистауская,сельское население,,45.5
2014,процент,Южно-Казахстанская,сельское население,,30.4
2014,процент,Павлодарская,сельское население,,38.6
2014,процент,Северо-Казахстанская,сельское население,,28.0
2014,процент,Восточно-Казахстанская,сельское население,,29.2
2014,процент,,,16-24,29.6
2014,процент,,,25-28,34.8
2014,процент,,,29-34,33.2
2014,процент,,,35-44,36.5
2014,процент,,,45-54,38.3
2014,процент,,,55-64,30.2
2014,процент,,,65 и старше,16.0
2014,процент,Акмолинская,,16-24,25.6
2014,процент,Акмолинская,,25-28,26.6
2014,процент,Акмолинская,,29-34,32.1
2014,процент,Акмолинская,,35-44,36.4
2014,процент,Акмолинская,,45-54,36.8
2014,процент,Акмолинская,,55-64,37.8
2014,процент,Актюбинская,,16-24,13.5
2014,процент,Актюбинская,,25-28,43.8
2014,процент,Актюбинская,,29-34,43.3
2014,процент,Актюбинская,,35-44,41.8
2014,процент,Актюбинская,,45-54,36.5
2014,процент,Актюбинская,,55-64,16.7
2014,процент,Актюбинская,,65 и старше,0.0
2014,процент,Алматинская,,16-24,17.3
2014,процент,Алматинская,,25-28,34.2
2014,процент,Алматинская,,29-34,20.2
2014,процент,Алматинская,,35-44,27.6
2014,процент,Алматинская,,45-54,31.1
2014,процент,Алматинская,,55-64,26.1
2014,процент,Алматинская,,65 и старше,25.6
2014,процент,Атырауская,,16-24,39.1
2014,процент,Атырауская,,25-28,12.7
2014,процент,Атырауская,,29-34,18.4
2014,процент,Атырауская,,35-44,36.2
2014,процент,Атырауская,,45-54,28.7
2014,процент,Атырауская,,55-64,13.3
2014,процент,Атырауская,,65 и старше,0.0
2014,процент,Западно-Казахстанская,,16-24,31.3
2014,процент,Западно-Казахстанская,,25-28,27.1
2014,процент,Западно-Казахстанская,,29-34,43.2
2014,процент,Западно-Казахстанская,,35-44,32.6
2014,процент,Западно-Казахстанская,,45-54,27.6
2014,процент,Западно-Казахстанская,,55-64,26.9
2014,процент,Западно-Казахстанская,,65 и старше,0.0
2014,процент,Жымбылская,,16-24,4.2
2014,процент,Жымбылская,,25-28,25.0
2014,процент,Жымбылская,,29-34,11.3
2014,процент,Жымбылская,,35-44,22.8
2014,процент,Жымбылская,,45-54,42.2
2014,процент,Жымбылская,,55-64,28.3
2014,процент,Жымбылская,,65 и старше,0.0
2014,процент,Карагандинская,,16-24,31.1
2014,процент,Карагандинская,,25-28,20.2
2014,процент,Карагандинская,,29-34,33.4
2014,процент,Карагандинская,,35-44,35.2
2014,процент,Карагандинская,,45-54,43.4
2014,процент,Карагандинская,,55-64,42.9
2014,процент,Карагандинская,,65 и старше,8.1
2014,процент,Костанайская,,16-24,44.5
2014,процент,Костанайская,,25-28,35.6
2014,процент,Костанайская,,29-34,34.7
2014,процент,Костанайская,,35-44,40.3
2014,процент,Костанайская,,45-54,43.2
2014,процент,Костанайская,,55-64,27.2
2014,процент,Костанайская,,65 и старше,32.5
2014,процент,Кызылординская,,16-24,27.7
2014,процент,Кызылординская,,25-28,65.2
2014,процент,Кызылординская,,29-34,28.9
2014,процент,Кызылординская,,35-44,47.7
2014,процент,Кызылординская,,45-54,29.2
2014,процент,Кызылординская,,55-64,16.2
2014,процент,Мангистауская,,16-24,41.1
2014,процент,Мангистауская,,25-28,47.7
2014,процент,Мангистауская,,29-34,38.5
2014,процент,Мангистауская,,35-44,50.2
2014,процент,Мангистауская,,45-54,48.2
2014,процент,Мангистауская,,55-64,31.6
2014,процент,Мангистауская,,65 и старше,6.8
2014,процент,Южно-Казахстанская,,16-24,22.0
2014,процент,Южно-Казахстанская,,25-28,31.6
2014,процент,Южно-Казахстанская,,29-34,36.2
2014,процент,Южно-Казахстанская,,35-44,36.6
2014,процент,Южно-Казахстанская,,45-54,31.5
2014,процент,Южно-Казахстанская,,55-64,25.2
2014,процент,Павлодарская,,16-24,22.1
2014,процент,Павлодарская,,25-28,33.4
2014,процент,Павлодарская,,29-34,27.9
2014,процент,Павлодарская,,35-44,31.9
2014,процент,Павлодарская,,45-54,37.0
2014,процент,Павлодарская,,55-64,24.9
2014,процент,Павлодарская,,65 и старше,84.8
2014,процент,Северо-Казахстанская,,16-24,2.1
2014,процент,Северо-Казахстанская,,25-28,23.0
2014,процент,Северо-Казахстанская,,29-34,28.0
2014,процент,Северо-Казахстанская,,35-44,38.0
2014,процент,Северо-Казахстанская,,45-54,32.2
2014,процент,Северо-Казахстанская,,55-64,32.2
2014,процент,Северо-Казахстанская,,65 и старше,21.9
2014,процент,Восточно-Казахстанская,,16-24,25.8
2014,процент,Восточно-Казахстанская,,25-28,27.2
2014,процент,Восточно-Казахстанская,,29-34,35.2
2014,процент,Восточно-Казахстанская,,35-44,30.2
2014,процент,Восточно-Казахстанская,,45-54,45.2
2014,процент,Восточно-Казахстанская,,55-64,29.0
2014,процент,Восточно-Казахстанская,,65 и старше,10.6
2014,процент,г_Нур-Султан,,16-24,20.8
2014,процент,г_Нур-Султан,,25-28,47.7
2014,процент,г_Нур-Султан,,29-34,43.1
2014,процент,г_Нур-Султан,,35-44,38.5
2014,процент,г_Нур-Султан,,45-54,28.3
2014,процент,г_Нур-Султан,,55-64,28.0
2014,процент,г_Алматы,,16-24,37.0
2014,процент,г_Алматы,,25-28,43.4
2014,процент,г_Алматы,,29-34,32.8
2014,процент,г_Алматы,,35-44,39.1
2014,процент,г_Алматы,,45-54,42.3
2014,процент,г_Алматы,,55-64,35.1
2014,процент,г_Алматы,,65 и старше,0.0
2015,процент,,,,37.0
2015,процент,Акмолинская,,,30.0
2015,процент,Актюбинская,,,34.3
2015,процент,Алматинская,,,31.3
2015,процент,Атырауская,,,33.8
2015,процент,Западно-Казахстанская,,,35.9
2015,процент,Жымбылская,,,20.5
2015,процент,Карагандинская,,,38.9
2015,процент,Костанайская,,,42.9
2015,процент,Кызылординская,,,32.6
2015,процент,Мангистауская,,,52.0
2015,процент,Южно-Казахстанская,,,28.7
2015,процент,Павлодарская,,,39.1
2015,процент,Северо-Казахстанская,,,39.6
2015,процент,Восточно-Казахстанская,,,33.0
2015,процент,г_Нур-Султан,,,41.9
2015,процент,г_Алматы,,,35.3
2015,процент,,Город,,38.4
2015,процент,Акмолинская,Город,,29.8
2015,процент,Актюбинская,Город,,33.1
2015,процент,Алматинская,Город,,34.3
2015,процент,Атырауская,Город,,33.6
2015,процент,Западно-Казахстанская,Город,,38.4
2015,процент,Жымбылская,Город,,20.3
2015,процент,Карагандинская,Город,,39.9
2015,процент,Костанайская,Город,,44.7
2015,процент,Кызылординская,Город,,37.6
2015,процент,Мангистауская,Город,,51.6
2015,процент,Южно-Казахстанская,Город,,32.8
2015,процент,Павлодарская,Город,,40.7
2015,процент,Северо-Казахстанская,Город,,42.1
2015,процент,Восточно-Казахстанская,Город,,34.6
2015,процент,г_Нур-Султан,Город,,41.9
2015,процент,г_Алматы,Город,,35.3
2015,процент,,сельское население,,32.1
2015,процент,Акмолинская,сельское население,,30.3
2015,процент,Актюбинская,сельское население,,38.1
2015,процент,Алматинская,сельское население,,29.3
2015,процент,Атырауская,сельское население,,34.6
2015,процент,Западно-Казахстанская,сельское население,,30.7
2015,процент,Жымбылская,сельское население,,21.1
2015,процент,Карагандинская,сельское население,,30.9
2015,процент,Костанайская,сельское население,,38.4
2015,процент,Кызылординская,сельское население,,26.3
2015,процент,Мангистауская,сельское население,,53.0
2015,процент,Южно-Казахстанская,сельское население,,23.7
2015,процент,Павлодарская,сельское население,,31.6
2015,процент,Северо-Казахстанская,сельское население,,32.9
2015,процент,Восточно-Казахстанская,сельское население,,28.5
2015,процент,,,16-24,38.3
2015,процент,,,25-28,36.7
2015,процент,,,29-34,37.1
2015,процент,,,35-44,35.9
2015,процент,,,45-54,39.4
2015,процент,,,55-64,34.3
2015,процент,,,65 и старше,28.4
2015,процент,Акмолинская,,16-24,45.5
2015,процент,Акмолинская,,25-28,15.1
2015,процент,Акмолинская,,29-34,30.7
2015,процент,Акмолинская,,35-44,29.0
2015,процент,Акмолинская,,45-54,32.1
2015,процент,Акмолинская,,55-64,30.3
2015,процент,Актюбинская,,16-24,33.0
2015,процент,Актюбинская,,25-28,42.2
2015,процент,Актюбинская,,29-34,27.3
2015,процент,Актюбинская,,35-44,24.5
2015,процент,Актюбинская,,45-54,52.7
2015,процент,Актюбинская,,55-64,29.9
2015,процент,Актюбинская,,65 и старше,0.0
2015,процент,Алматинская,,16-24,44.1
2015,процент,Алматинская,,25-28,31.1
2015,процент,Алматинская,,29-34,26.9
2015,процент,Алматинская,,35-44,28.1
2015,процент,Алматинская,,45-54,31.0
2015,процент,Алматинская,,55-64,33.9
2015,процент,Алматинская,,65 и старше,9.8
2015,процент,Атырауская,,16-24,17.1
2015,процент,Атырауская,,25-28,0.0
2015,процент,Атырауская,,29-34,39.3
2015,процент,Атырауская,,35-44,50.5
2015,процент,Атырауская,,45-54,29.7
2015,процент,Атырауская,,55-64,18.5
2015,процент,Атырауская,,65 и старше,0.0
2015,процент,Западно-Казахстанская,,16-24,48.1
2015,процент,Западно-Казахстанская,,25-28,43.0
2015,процент,Западно-Казахстанская,,29-34,31.9
2015,процент,Западно-Казахстанская,,35-44,24.9
2015,процент,Западно-Казахстанская,,45-54,41.8
2015,процент,Западно-Казахстанская,,55-64,36.7
2015,процент,Жымбылская,,16-24,4.1
2015,процент,Жымбылская,,25-28,32.7
2015,процент,Жымбылская,,29-34,13.6
2015,процент,Жымбылская,,35-44,18.4
2015,процент,Жымбылская,,45-54,37.4
2015,процент,Жымбылская,,55-64,10.4
2015,процент,Карагандинская,,16-24,49.8
2015,процент,Карагандинская,,25-28,34.3
2015,процент,Карагандинская,,29-34,36.7
2015,процент,Карагандинская,,35-44,34.4
2015,процент,Карагандинская,,45-54,46.8
2015,процент,Карагандинская,,55-64,38.1
2015,процент,Карагандинская,,65 и старше,27.8
2015,процент,Костанайская,,16-24,45.3
2015,процент,Костанайская,,25-28,40.2
2015,процент,Костанайская,,29-34,44.0
2015,процент,Костанайская,,35-44,42.9
2015,процент,Костанайская,,45-54,45.0
2015,процент,Костанайская,,55-64,36.0
2015,процент,Костанайская,,65 и старше,17.7
2015,процент,Кызылординская,,16-24,0.0
2015,процент,Кызылординская,,25-28,33.8
2015,процент,Кызылординская,,29-34,33.6
2015,процент,Кызылординская,,35-44,44.2
2015,процент,Кызылординская,,45-54,30.3
2015,процент,Кызылординская,,55-64,13.0
2015,процент,Мангистауская,,16-24,36.3
2015,процент,Мангистауская,,25-28,63.3
2015,процент,Мангистауская,,29-34,47.5
2015,процент,Мангистауская,,35-44,62.3
2015,процент,Мангистауская,,45-54,46.5
2015,процент,Мангистауская,,55-64,41.6
2015,процент,Мангистауская,,65 и старше,54.5
2015,процент,Южно-Казахстанская,,16-24,5.3
2015,процент,Южно-Казахстанская,,25-28,12.9
2015,процент,Южно-Казахстанская,,29-34,33.9
2015,процент,Южно-Казахстанская,,35-44,39.7
2015,процент,Южно-Казахстанская,,45-54,21.4
2015,процент,Южно-Казахстанская,,55-64,24.3
2015,процент,Южно-Казахстанская,,65 и старше,0.0
2015,процент,Павлодарская,,16-24,42.0
2015,процент,Павлодарская,,25-28,32.5
2015,процент,Павлодарская,,29-34,56.7
2015,процент,Павлодарская,,35-44,38.6
2015,процент,Павлодарская,,45-54,35.8
2015,процент,Павлодарская,,55-64,30.6
2015,процент,Павлодарская,,65 и старше,11.8
2015,процент,Северо-Казахстанская,,16-24,48.7
2015,процент,Северо-Казахстанская,,25-28,37.7
2015,процент,Северо-Казахстанская,,29-34,38.0
2015,процент,Северо-Казахстанская,,35-44,38.2
2015,процент,Северо-Казахстанская,,45-54,42.2
2015,процент,Северо-Казахстанская,,55-64,40.6
2015,процент,Северо-Казахстанская,,65 и старше,2.8
2015,процент,Восточно-Казахстанская,,16-24,29.9
2015,процент,Восточно-Казахстанская,,25-28,13.7
2015,процент,Восточно-Казахстанская,,29-34,32.2
2015,процент,Восточно-Казахстанская,,35-44,34.8
2015,процент,Восточно-Казахстанская,,45-54,36.9
2015,процент,Восточно-Казахстанская,,55-64,38.3
2015,процент,Восточно-Казахстанская,,65 и старше,0.0
2015,процент,г_Нур-Султан,,16-24,41.3
2015,процент,г_Нур-Султан,,25-28,52.4
2015,процент,г_Нур-Султан,,29-34,37.3
2015,процент,г_Нур-Султан,,35-44,37.2
2015,процент,г_Нур-Султан,,45-54,46.1
2015,процент,г_Нур-Султан,,55-64,41.1
2015,процент,г_Нур-Султан,,65 и старше,55.6
2015,процент,г_Алматы,,16-24,35.1
2015,процент,г_Алматы,,25-28,22.9
2015,процент,г_Алматы,,29-34,43.7
2015,процент,г_Алматы,,35-44,35.1
2015,процент,г_Алматы,,45-54,33.8
2015,процент,г_Алматы,,55-64,35.8
2015,процент,г_Алматы,,65 и старше,32.1
2016,процент,,,,37.3
2016,процент,Акмолинская,,,34.6
2016,процент,Актюбинская,,,34.1
2016,процент,Алматинская,,,35.7
2016,процент,Атырауская,,,30.0
2016,процент,Западно-Казахстанская,,,34.5
2016,процент,Жымбылская,,,19.2
2016,процент,Карагандинская,,,33.8
2016,процент,Костанайская,,,39.6
2016,процент,Кызылординская,,,31.1
2016,процент,Мангистауская,,,44.4
2016,процент,Южно-Казахстанская,,,40.9
2016,процент,Павлодарская,,,40.0
2016,процент,Северо-Казахстанская,,,32.6
2016,процент,Восточно-Казахстанская,,,33.7
2016,процент,г_Нур-Султан,,,44.2
2016,процент,г_Алматы,,,39.9
2016,процент,,Город,,38.3
2016,процент,Акмолинская,Город,,31.8
2016,процент,Актюбинская,Город,,36.8
2016,процент,Алматинская,Город,,42.2
2016,процент,Атырауская,Город,,30.5
2016,процент,Западно-Казахстанская,Город,,35.0
2016,процент,Жымбылская,Город,,16.2
2016,процент,Карагандинская,Город,,34.2
2016,процент,Костанайская,Город,,41.4
2016,процент,Кызылординская,Город,,32.2
2016,процент,Мангистауская,Город,,43.8
2016,процент,Южно-Казахстанская,Город,,43.0
2016,процент,Павлодарская,Город,,40.5
2016,процент,Северо-Казахстанская,Город,,33.5
2016,процент,Восточно-Казахстанская,Город,,35.2
2016,процент,г_Нур-Султан,Город,,44.2
2016,процент,г_Алматы,Город,,39.9
2016,процент,,сельское население,,32.9
2016,процент,Акмолинская,сельское население,,38.3
2016,процент,Актюбинская,сельское население,,27.0
2016,процент,Алматинская,сельское население,,31.1
2016,процент,Атырауская,сельское население,,28.4
2016,процент,Западно-Казахстанская,сельское население,,33.5
2016,процент,Жымбылская,сельское население,,29.4
2016,процент,Карагандинская,сельское население,,30.7
2016,процент,Костанайская,сельское население,,35.9
2016,процент,Кызылординская,сельское население,,27.3
2016,процент,Мангистауская,сельское население,,47.1
2016,процент,Южно-Казахстанская,сельское население,,33.7
2016,процент,Павлодарская,сельское население,,37.6
2016,процент,Северо-Казахстанская,сельское население,,30.4
2016,процент,Восточно-Казахстанская,сельское население,,25.2
2016,процент,,,16-24,37.9
2016,процент,,,25-28,36.1
2016,процент,,,29-34,35.6
2016,процент,,,35-44,35.4
2016,процент,,,45-54,41.5
2016,процент,,,55-64,36.7
2016,процент,,,65 и старше,29.8
2016,процент,Акмолинская,,16-24,45.0
2016,процент,Акмолинская,,25-28,15.8
2016,процент,Акмолинская,,29-34,45.4
2016,процент,Акмолинская,,35-44,28.7
2016,процент,Акмолинская,,45-54,35.8
2016,процент,Акмолинская,,55-64,44.0
2016,процент,Актюбинская,,16-24,25.1
2016,процент,Актюбинская,,25-28,35.2
2016,процент,Актюбинская,,29-34,42.9
2016,процент,Актюбинская,,35-44,32.2
2016,процент,Актюбинская,,45-54,47.6
2016,процент,Актюбинская,,55-64,24.0
2016,процент,Актюбинская,,65 и старше,4.7
2016,процент,Алматинская,,16-24,25.1
2016,процент,Алматинская,,25-28,35.2
2016,процент,Алматинская,,29-34,42.9
2016,процент,Алматинская,,35-44,32.2
2016,процент,Алматинская,,45-54,47.6
2016,процент,Алматинская,,55-64,24.0
2016,процент,Алматинская,,65 и старше,4.7
2016,процент,Атырауская,,16-24,33.8
2016,процент,Атырауская,,25-28,49.1
2016,процент,Атырауская,,29-34,7.5
2016,процент,Атырауская,,35-44,34.1
2016,процент,Атырауская,,45-54,49.1
2016,процент,Атырауская,,55-64,23.4
2016,процент,Атырауская,,65 и старше,0.0
2016,процент,Западно-Казахстанская,,16-24,40.4
2016,процент,Западно-Казахстанская,,25-28,47.7
2016,процент,Западно-Казахстанская,,29-34,37.3
2016,процент,Западно-Казахстанская,,35-44,31.4
2016,процент,Западно-Казахстанская,,45-54,34.1
2016,процент,Западно-Казахстанская,,55-64,31.1
2016,процент,Жымбылская,,16-24,0.0
2016,процент,Жымбылская,,25-28,9.7
2016,процент,Жымбылская,,29-34,17.8
2016,процент,Жымбылская,,35-44,13.3
2016,процент,Жымбылская,,45-54,36.7
2016,процент,Жымбылская,,55-64,22.5
2016,процент,Жымбылская,,65 и старше,100.0
2016,процент,Карагандинская,,16-24,47.9
2016,процент,Карагандинская,,25-28,26.9
2016,процент,Карагандинская,,29-34,36.3
2016,процент,Карагандинская,,35-44,28.6
2016,процент,Карагандинская,,45-54,37.2
2016,процент,Карагандинская,,55-64,36.3
2016,процент,Карагандинская,,65 и старше,14.0
2016,процент,Костанайская,,16-24,40.2
2016,процент,Костанайская,,25-28,38.2
2016,процент,Костанайская,,29-34,25.1
2016,процент,Костанайская,,35-44,42.5
2016,процент,Костанайская,,45-54,51.4
2016,процент,Костанайская,,55-64,33.8
2016,процент,Костанайская,,65 и старше,15.9
2016,процент,Кызылординская,,16-24,21.7
2016,процент,Кызылординская,,25-28,22.9
2016,процент,Кызылординская,,29-34,31.0
2016,процент,Кызылординская,,35-44,22.8
2016,процент,Кызылординская,,45-54,42.5
2016,процент,Кызылординская,,55-64,30.8
2016,процент,Мангистауская,,16-24,40.7
2016,процент,Мангистауская,,25-28,46.0
2016,процент,Мангистауская,,29-34,47.4
2016,процент,Мангистауская,,35-44,41.9
2016,процент,Мангистауская,,45-54,47.1
2016,процент,Мангистауская,,55-64,37.6
2016,процент,Южно-Казахстанская,,16-24,5.2
2016,процент,Южно-Казахстанская,,25-28,10.9
2016,процент,Южно-Казахстанская,,29-34,46.9
2016,процент,Южно-Казахстанская,,35-44,60.7
2016,процент,Южно-Казахстанская,,45-54,39.8
2016,процент,Южно-Казахстанская,,55-64,67.2
2016,процент,Южно-Казахстанская,,65 и старше,0.0
2016,процент,Павлодарская,,16-24,72.0
2016,процент,Павлодарская,,25-28,32.9
2016,процент,Павлодарская,,29-34,31.7
2016,процент,Павлодарская,,35-44,40.3
2016,процент,Павлодарская,,45-54,44.9
2016,процент,Павлодарская,,55-64,38.1
2016,процент,Павлодарская,,65 и старше,70.3
2016,процент,Северо-Казахстанская,,16-24,0.0
2016,процент,Северо-Казахстанская,,25-28,34.2
2016,процент,Северо-Казахстанская,,29-34,27.1
2016,процент,Северо-Казахстанская,,35-44,34.8
2016,процент,Северо-Казахстанская,,45-54,37.3
2016,процент,Северо-Казахстанская,,55-64,27.3
2016,процент,Северо-Казахстанская,,65 и старше,16.5
2016,процент,Восточно-Казахстанская,,16-24,1.5
2016,процент,Восточно-Казахстанская,,25-28,71.9
2016,процент,Восточно-Казахстанская,,29-34,31.7
2016,процент,Восточно-Казахстанская,,35-44,29.43
2016,процент,Восточно-Казахстанская,,45-54,28.5
2016,процент,Восточно-Казахстанская,,55-64,30.7
2016,процент,Восточно-Казахстанская,,65 и старше,17.5
2016,процент,г_Нур-Султан,,16-24,61.6
2016,процент,г_Нур-Султан,,25-28,46.3
2016,процент,г_Нур-Султан,,29-34,40.6
2016,процент,г_Нур-Султан,,35-44,38.3
2016,процент,г_Нур-Султан,,45-54,48.7
2016,процент,г_Нур-Султан,,55-64,56.7
2016,процент,г_Нур-Султан,,65 и старше,66.0
2016,процент,г_Алматы,,16-24,40.6
2016,процент,г_Алматы,,25-28,37.3
2016,процент,г_Алматы,,29-34,36.8
2016,процент,г_Алматы,,35-44,37.0
2016,процент,г_Алматы,,45-54,43.2
2016,процент,г_Алматы,,55-64,48.9
2016,процент,г_Алматы,,65 и старше,78.8
2017,процент,,,,37.0
2017,процент,Акмолинская,,,35.8
2017,процент,Актюбинская,,,39.8
2017,процент,Алматинская,,,33.8
2017,процент,Атырауская,,,31.0
2017,процент,Западно-Казахстанская,,,35.8
2017,процент,Жымбылская,,,18.5
2017,процент,Карагандинская,,,32.9
2017,процент,Костанайская,,,38.8
2017,процент,Кызылординская,,,30.5
2017,процент,Мангистауская,,,42.0
2017,процент,Южно-Казахстанская,,,26.5
2017,процент,Павлодарская,,,43.6
2017,процент,Северо-Казахстанская,,,33.9
2017,процент,Восточно-Казахстанская,,,41.1
2017,процент,г_Нур-Султан,,,43.2
2017,процент,г_Алматы,,,36.1
2017,процент,,Город,,37.8
2017,процент,Акмолинская,Город,,33.1
2017,процент,Актюбинская,Город,,42.3
2017,процент,Алматинская,Город,,35.2
2017,процент,Атырауская,Город,,30.8
2017,процент,Западно-Казахстанская,Город,,39.1
2017,процент,Жымбылская,Город,,17.8
2017,процент,Карагандинская,Город,,33.3
2017,процент,Костанайская,Город,,40.0
2017,процент,Кызылординская,Город,,29.6
2017,процент,Мангистауская,Город,,39.5
2017,процент,Южно-Казахстанская,Город,,24.9
2017,процент,Павлодарская,Город,,46.1
2017,процент,Северо-Казахстанская,Город,,37.2
2017,процент,Восточно-Казахстанская,Город,,42.3
2017,процент,г_Нур-Султан,Город,,43.2
2017,процент,г_Алматы,Город,,36.1
2017,процент,,сельское население,,33.3
2017,процент,Акмолинская,сельское население,,39.8
2017,процент,Актюбинская,сельское население,,31.7
2017,процент,Алматинская,сельское население,,33.0
2017,процент,Атырауская,сельское население,,32.6
2017,процент,Западно-Казахстанская,сельское население,,28.8
2017,процент,Жымбылская,сельское население,,20.9
2017,процент,Карагандинская,сельское население,,29.6
2017,процент,Костанайская,сельское население,,36.5
2017,процент,Кызылординская,сельское население,,33.3
2017,процент,Мангистауская,сельское население,,49.1
2017,процент,Южно-Казахстанская,сельское население,,32.1
2017,процент,Павлодарская,сельское население,,30.4
2017,процент,Северо-Казахстанская,сельское население,,24.3
2017,процент,Восточно-Казахстанская,сельское население,,33.3
2017,процент,,,16-24,41.2
2017,процент,,,25-28,35.0
2017,процент,,,29-34,36.9
2017,процент,,,35-44,37.0
2017,процент,,,45-54,39.6
2017,процент,,,55-64,31.4
2017,процент,,,65 и старше,35.3
2017,процент,Акмолинская,,16-24,49.3
2017,процент,Акмолинская,,25-28,22.6
2017,процент,Акмолинская,,29-34,32.2
2017,процент,Акмолинская,,35-44,38.6
2017,процент,Акмолинская,,45-54,43.4
2017,процент,Акмолинская,,55-64,26.7
2017,процент,Актюбинская,,16-24,50.8
2017,процент,Актюбинская,,25-28,49.7
2017,процент,Актюбинская,,29-34,41.5
2017,процент,Актюбинская,,35-44,36.5
2017,процент,Актюбинская,,45-54,41.0
2017,процент,Актюбинская,,55-64,22.2
2017,процент,Актюбинская,,65 и старше,0.0
2017,процент,Алматинская,,16-24,35.9
2017,процент,Алматинская,,25-28,31.9
2017,процент,Алматинская,,29-34,32.6
2017,процент,Алматинская,,35-44,30.1
2017,процент,Алматинская,,45-54,40.2
2017,процент,Алматинская,,55-64,27.4
2017,процент,Алматинская,,65 и старше,72.5
2017,процент,Атырауская,,16-24,2.2
2017,процент,Атырауская,,25-28,21.4
2017,процент,Атырауская,,29-34,32.8
2017,процент,Атырауская,,35-44,40.2
2017,процент,Атырауская,,45-54,28.7
2017,процент,Атырауская,,55-64,31.3
2017,процент,Западно-Казахстанская,,16-24,44.1
2017,процент,Западно-Казахстанская,,25-28,33.9
2017,процент,Западно-Казахстанская,,29-34,25.9
2017,процент,Западно-Казахстанская,,35-44,38.6
2017,процент,Западно-Казахстанская,,45-54,40.3
2017,процент,Западно-Казахстанская,,55-64,32.5
2017,процент,Жымбылская,,16-24,31.1
2017,процент,Жымбылская,,25-28,20.7
2017,процент,Жымбылская,,29-34,9.0
2017,процент,Жымбылская,,35-44,20.1
2017,процент,Жымбылская,,45-54,12.0
2017,процент,Жымбылская,,55-64,17.6
2017,процент,Карагандинская,,16-24,26.0
2017,процент,Карагандинская,,25-28,36.9
2017,процент,Карагандинская,,29-34,20.2
2017,процент,Карагандинская,,35-44,35.4
2017,процент,Карагандинская,,45-54,39.3
2017,процент,Карагандинская,,55-64,32.7
2017,процент,Карагандинская,,65 и старше,26.9
2017,процент,Костанайская,,16-24,40.1
2017,процент,Костанайская,,25-28,30.8
2017,процент,Костанайская,,29-34,29.9
2017,процент,Костанайская,,35-44,49.6
2017,процент,Костанайская,,45-54,44.0
2017,процент,Костанайская,,55-64,25.1
2017,процент,Костанайская,,65 и старше,14.1
2017,процент,Кызылординская,,16-24,100.0
2017,процент,Кызылординская,,25-28,43.3
2017,процент,Кызылординская,,29-34,29.0
2017,процент,Кызылординская,,35-44,34.0
2017,процент,Кызылординская,,45-54,33.5
2017,процент,Кызылординская,,55-64,16.6
2017,процент,Мангистауская,,16-24,18.8
2017,процент,Мангистауская,,25-28,53.1
2017,процент,Мангистауская,,29-34,44.9
2017,процент,Мангистауская,,35-44,46.5
2017,процент,Мангистауская,,45-54,38.0
2017,процент,Мангистауская,,55-64,29.3
2017,процент,Мангистауская,,65 и старше,0.0
2017,процент,Южно-Казахстанская,,16-24,12.4
2017,процент,Южно-Казахстанская,,25-28,14.9
2017,процент,Южно-Казахстанская,,29-34,21.1
2017,процент,Южно-Казахстанская,,35-44,29.9
2017,процент,Южно-Казахстанская,,45-54,40.2
2017,процент,Южно-Казахстанская,,55-64,11.3
2017,процент,Павлодарская,,16-24,60.4
2017,процент,Павлодарская,,25-28,54.5
2017,процент,Павлодарская,,29-34,49.9
2017,процент,Павлодарская,,35-44,41.8
2017,процент,Павлодарская,,45-54,39.1
